index,id,system,category,item,core
TBL-01-00-238,Jlvnl0o,Respiratory system,Lung disease caused by other mechanisms,Lymphangioleiomyomatosis of the lung (LAM),
TBL-01-00-239,Jlvnl0s,Respiratory system,Lung disease caused by other mechanisms,Pulmonary alveolar proteinosis,
TBL-01-00-240,Jlvnl08,Respiratory system,"Diseases of the pleura, mediastinum, and diaphragm",Pleuritis,
TBL-01-00-241,Jlvnl1A,Respiratory system,"Diseases of the pleura, mediastinum, and diaphragm",Pneumothorax (spontaneous/ tension/ traumatic),●
TBL-01-00-242,Jlvnl1U,Respiratory system,"Diseases of the pleura, mediastinum, and diaphragm",Mediastinal emphysema,
TBL-01-00-243,Jlvnl1Y,Respiratory system,"Diseases of the pleura, mediastinum, and diaphragm",Hemothorax,
TBL-01-00-244,Jlvnl1o,Respiratory system,"Diseases of the pleura, mediastinum, and diaphragm",Mediastinitis,
TBL-01-00-245,Jlvnl1s,Respiratory system,"Diseases of the pleura, mediastinum, and diaphragm",Thoracic deformity (pectus excavatum),
TBL-01-00-246,Jlvnl10,Respiratory system,"Diseases of the pleura, mediastinum, and diaphragm",Phrenic nerve paralysis,
TBL-01-00-247,Jlvnl14,Respiratory system,"Diseases of the pleura, mediastinum, and diaphragm",Diaphragmatic hernia,
TBL-01-00-248,Jlvnl2E,Digestive system,Esophageal disease,Esophageal varices/gastric varices,●
TBL-01-00-249,Jlvnl2M,Digestive system,Esophageal disease,Gastroesophageal reflux disease (GERD),●
TBL-01-00-250,Jlvnl2U,Digestive system,Esophageal disease,Gastroesophageal reflux disease with esophagitis,
TBL-01-00-251,Jlvnl2Y,Digestive system,Esophageal disease,Mallory–Weiss syndrome,
TBL-01-00-252,Jlvnl2g,Digestive system,Esophageal disease,Achalasia,
TBL-01-00-253,Jlvnl2k,Digestive system,Gastrointestinal and duodenal disease,Peptic ulcer disease (gastric and duodenal),●
TBL-01-00-254,Jlvnl2s,Digestive system,Gastrointestinal and duodenal disease,Helicobacter pylori infection,
TBL-01-00-255,Jlvnl24,Digestive system,Gastrointestinal and duodenal disease,Acute gastritis,
TBL-01-00-256,Jlvnl3E,Digestive system,Gastrointestinal and duodenal disease,Chronic gastritis,
TBL-01-00-257,Jlvnl3Q,Digestive system,Gastrointestinal and duodenal disease,Functional gastrointestinal disorders (functional dyspepsia),●
TBL-01-00-258,Jlvnl2w,Digestive system,Gastrointestinal and duodenal disease,Polyps of stomach and duodenum,
